Title,Published_date,Views,Likes,Comments,Month
What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14920,460,103,Apr
Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3023,84,24,Apr
5 Tips for Crushing the Work From Home Life,2020-04-20,5315,200,38,Apr
Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,17079,650,125,Apr
Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,24301,658,97,Apr
Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,37091,799,143,Apr
Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,62573,1716,207,Apr
Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,67015,1567,260,Apr
Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,99938,2948,608,Apr
Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,148119,4130,163,Apr
When Data Science Goes Wrong,2020-03-30,1779,105,32,Mar
How to ULTRALEARN Data Science,2020-03-27,60562,3779,167,Mar
Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4295,265,50,Mar
Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12096,444,45,Mar
The Secret Data Scientists Don't Want You to Know,2020-03-16,10449,1124,105,Mar
The 5 Stages of Learning Data Science,2020-03-13,17112,1276,78,Mar
Can You Learn Data Science Without a Computer?,2020-03-11,1462,104,14,Mar
The Best Free Data Science Courses Nobody is Talking About,2020-03-09,335220,20799,616,Mar
The Data Science Projects that Got Me a Job,2020-03-06,39187,1362,41,Mar
How to Integrate Data Science into Your Business,2020-03-02,3311,125,18,Mar
The Problem with Data Science,2020-02-28,3720,153,21,Feb
How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1120,46,16,Feb
How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,109880,2194,98,Feb
3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,308329,17167,515,Feb
Data Science Advice for College Students,2020-02-14,68097,1945,197,Feb
Avoid These Data Science Resume Mistakes!,2020-02-10,26904,1193,58,Feb
Data Science Explained with ... Cooking?,2020-02-07,4828,293,47,Feb
The 4 Types of Sports Analytics Projects,2020-02-03,26194,882,60,Feb
Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,555,18,13,Jan
How I Learned Data Science,2020-01-27,92476,2647,210,Jan
What is Sports Analytics Really?,2020-01-20,18972,567,73,Jan
Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,107277,3051,585,Jan
How To Learn Programming for Data Science [3 Steps],2020-01-13,29411,1955,96,Jan
Data Science Fundamentals: SQL Queries,2020-01-10,5952,207,34,Jan
Questions You Should Ask Your Data Science Interviewers,2020-01-06,2967,147,14,Jan
The 9 Books That Changed My Perspective in 2019,2020-01-03,3307,180,25,Jan
The Data Science Interview: What to Expect,2019-12-30,8052,367,32,Dec
5 Data Science Resolutions for 2020,2019-12-27,473,25,12,Dec
How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,15080,529,89,Dec
